,0,1
129,beat it,mach ’ne fliege
130,beat it,schwirr ab
131,beat it,mach die sause
132,beat it,scher dich weg
133,beat it,scher dich fort
134,burn it,verbrenne es
135,burn it,verbrennt es
136,burn it,verbrennen sie es
137,bury it,vergrabe es
138,call me,ruf mich an
139,come in,komm herein
140,come in,herein
141,come on,komm
142,come on,kommt
143,come on,mach schon
144,come on,macht schon
145,come on,komm schon
146,drop it,lasst es fallen
147,drop it,fallen lassen
148,drop it,fallen lassen
149,fold it,falte es zusammen
150,get tom,hol tom
151,get out,raus
152,get out,geht raus
153,get out,geh raus
154,get out,geht raus
155,go away,geh weg
156,go away,hau ab
157,go away,verschwinde
158,go away,verdufte
159,go away,mach dich fort
160,go away,zieh leine
161,go away,mach dich vom acker
162,go away,verzieh dich
163,go away,verkrümele dich
164,go away,troll dich
165,go away,zisch ab
166,go away,pack dich
167,go away,mach ’ne fliege
168,go away,schwirr ab
169,go away,mach die sause
170,go away,scher dich weg
171,go away,scher dich fort
172,go away,gehen sie weg
173,go away,geh weg
174,go away,verpiss dich
175,go away,hau ab
176,go away,verschwinde
177,go away,verdufte
178,go away,mach dich fort
179,go away,zieh leine
180,go away,mach dich vom acker
181,go away,verzieh dich
182,go away,verkrümele dich
183,go away,troll dich
184,go away,zisch ab
185,go away,pack dich
186,go away,mach ’ne fliege
187,go away,schwirr ab
188,go away,mach die sause
189,go away,scher dich weg
190,go away,scher dich fort
191,go away,gehen sie weg
192,go home,geh nach hause
193,go home,geh heim
194,goodbye,auf wiedersehen
195,goodbye,leb wohl
196,goodbye,tschüss
197,goodbye,auf wiedersehen
198,hang on,nicht nachlassen
199,hang on,warte
200,he came,er kam
201,he left,er ist gegangen
202,he runs,er rennt
203,he runs,er läuft
204,help me,hilf mir
205,help us,hilf uns
206,help us,helft uns
207,help us,helfen sie uns
208,hi tom,hallo tom
209,hit tom,schlage tom
210,hit tom,schlagt tom
211,hit tom,schlagen sie tom
212,hold it,nicht bewegen
213,hold it,warte
214,hold it,stehen bleiben
215,hold it,bleib stehen
216,hold it,bleiben sie stehen
217,hold it,bleibt stehen
218,hold on,warten sie kurz
219,how sad,das ist aber schade
220,hug tom,umarme tom
221,hug tom,umarmen sie tom
222,hug tom,umarmt tom
223,hug tom,drückt tom
224,hug tom,drücken sie tom
225,hug tom,drück tom
226,i agree,ich bin einverstanden
227,i cried,ich weinte
228,i cried,ich habe geweint
229,i drove,ich fuhr
230,i drove,ich bin gefahren
231,i froze,ich fror
232,i froze,ich habe gefroren
233,i snore,ich schnarche
234,i swore,ich habe geschworen
235,i swore,ich schwur
236,i waved,ich winkte
237,i waved,ich habe gewunken
238,ill go,ich gehe
239,im bad,ich bin schlecht
240,im fat,ich bin fett
241,im fat,ich bin dick
242,im hit,ich wurde getroffen
243,im hot,mir ist heiß
244,im ill,ich bin krank
245,im mad,ich bin verrückt
246,im new,ich bin neu
247,im old,ich bin alt
248,im sad,ich bin traurig
249,im shy,ich bin schüchtern
250,im wet,ich bin nass
251,its ok,es ist in ordnung
252,its me,ich bin’s
253,its me,ich bin’s
254,join us,komm mit
255,join us,kommt mit
256,keep it,behalt es
257,keep it,behalt ihn
258,keep it,behalt sie
259,keep it,behalten sie ihn
260,keep it,behalten sie sie
261,keep it,behalten sie es
262,keep it,behaltet ihn
263,keep it,behaltet sie
264,keep it,behaltet es
265,kill it,töte es
266,kiss me,küsst mich
267,lie low,leg dich hin
268,lie low,hinlegen
269,lie low,niederlegen
270,lie low,leg dich nieder
271,lie low,legt euch nieder
272,lie low,legen sie sich nieder
273,lie low,legt euch hin
274,lie low,legen sie sich hin
275,lock it,schließ es ab
276,lock it,schließe sie ab
277,lock it,schließ ihn ab
278,me too,ich auch
279,open it,öffne es
280,open it,öffnet es
281,open it,öffnen sie es
282,open up,mach auf
283,perfect,perfekt
284,pull it,zieh dran
285,push it,drück drauf
286,see you,tschüss
287,see you,wir sehen uns
288,show me,zeigs mir
289,shut up,halt’s maul
290,so long,bis später
291,stop it,hör auf
292,take it,nimm es
293,take it,nehmt es
294,take it,nehmen sie es
295,tell me,sag es mir
296,tell me,erzähls mir
297,tom ate,tom aß
298,tom ate,tom hat gegessen
299,tom hid,thomas versteckte sich
300,tom hid,thomas hat sich versteckt
301,tom ran,tom rannte
302,tom ran,tom ist gerannt
303,tom won,tom hat gewonnen
304,wait up,warte mal
305,wait up,warten sie mal
306,wait up,wartet mal
307,wake up,wach auf
308,wake up,wachen sie auf
309,wake up,wach auf
310,wake up,wachen sie auf
311,wash up,wasch dir die hände
312,wash up,wasch dich
313,wash up,wasch dir das gesicht
314,we lost,wir haben verloren
315,we swam,wir schwammen
316,welcome,willkommen
317,who ate,wer hat gegessen
318,who ate,wer aß
319,who ran,wer rannte
320,who ran,wer ist gerannt
321,who won,wer hat gewonnen
322,you run,du läufst
323,you run,sie laufen
324,you win,du hast gewonnen
325,you won,du hast gewonnen
326,all rise,alle aufstehen
327,am i fat,bin ich dick
328,ask them,frag sie
329,back off,komm nicht näher
330,be a man,sei ein mann
331,be brave,sei mutig
332,be brave,sei tapfer
333,be brave,seien sie tapfer
334,be brave,seid tapfer
335,be brief,fassen sie sich kurz
336,be brief,fass dich kurz
337,be brief,fasst euch kurz
338,be quiet,sei leise
339,be quiet,seid leise
340,be quiet,seien sie leise
341,be still,sei ruhig
342,call tom,ruf tom an
343,call tom,rufe tom an
344,call tom,rufen sie tom an
345,call tom,ruft tom an
346,can i go,kann ich gehen
347,catch me,fang mich
348,catch me,fangen sie mich
349,catch me,fangt mich
350,cheer up,kopf hoch
351,cool off,reg dich ab
352,cuff him,leg ihm handschellen an
353,cuff him,legen sie ihm handschellen an
354,dont go,geh nicht
355,drive on,fahr weiter
356,find tom,finde tom
357,find tom,findet tom
358,find tom,finden sie tom
359,fix this,beheben sie das
360,fix this,behebe das
361,fix this,repariere das
362,fix this,reparieren sie das
363,get away,geh weg
364,get away,verpiss dich
365,get away,hau ab
366,get away,verschwinde
367,get away,verdufte
368,get away,mach dich fort
369,get away,zieh leine
370,get away,mach dich vom acker
371,get away,verzieh dich
372,get away,verkrümele dich
373,get away,troll dich
374,get away,zisch ab
375,get away,pack dich
376,get away,mach ’ne fliege
377,get away,schwirr ab
378,get away,mach die sause
379,get away,scher dich weg
380,get away,scher dich fort
381,get down,runter
382,get down,hinlegen
383,get down,in deckung
384,get down,komm runter
385,get down,kommen sie runter
386,get lost,geh weg
387,get lost,verpiss dich
388,get lost,hau ab
389,get lost,verschwinde
390,get lost,verdufte
391,get lost,mach dich fort
392,get lost,zieh leine
393,get lost,mach dich vom acker
394,get lost,verzieh dich
395,get lost,verkrümele dich
396,get lost,troll dich
397,get lost,zisch ab
398,get lost,pack dich
399,get lost,mach ’ne fliege
400,get lost,schwirr ab
401,get lost,mach die sause
402,get lost,scher dich weg
403,get lost,scher dich fort
404,get real,jetzt mal ernsthaft
405,go ahead,nur zu
406,go ahead,mach weiter
407,go there,geh da hin
408,grab tom,hol tom
409,grab him,greif ihn dir
410,have fun,viel vergnügen
411,have fun,viel spaß
412,have fun,feier schön
413,he spoke,er sprach
414,he tried,er versuchte es
415,he tried,er hat es versucht
416,he tries,er versucht es
417,hes tom,er ist tom
418,help tom,hilf tom
419,help tom,helft tom
420,help tom,helfen sie tom
421,how cute,was ist das nicht süß
422,how cute,wie süß
423,how deep,wie tief
424,how nice,wie schön
425,how rude,wie unverschämt
426,how rude,wie unhöflich
427,humor me,tu mir den gefallen
428,humor me,tun sie mir den gefallen
429,hurry up,beeil dich
430,hurry up,beeil dich
431,hurry up,mach hin
432,i can go,ich kann gehen
433,i cursed,ich fluchte
434,i cursed,ich habe geflucht
435,i did it,ich habe es geschafft
436,i did it,ich habs gemacht
437,i get by,ich komme klar
438,i get by,ich komme zurecht
439,i get by,ich komme über die runden
440,i get it,ich verstehe
441,i got it,ich habe es verstanden
442,i got it,ich habe es bekommen
443,i got it,ich habs
444,i had it,ich hatte es
445,i helped,ich half
446,i helped,ich habe geholfen
447,i jumped,ich bin gesprungen
448,i moaned,ich stöhnte
449,i moaned,ich ächzte
450,i nodded,ich nickte
451,i paused,ich hielt an
452,i paused,ich pausierte
453,i prayed,ich betete
454,i refuse,ich weigere mich
455,i resign,ich trete zurück
456,i rested,ich rastete
457,i shaved,ich rasierte mich
458,i shaved,ich habe mich rasiert
459,i smiled,ich lächelte
460,i stayed,ich blieb
461,i stayed,ich bin dageblieben
462,i use it,ich benutze es
463,i waited,ich habe gewartet
464,i winked,ich blinzelte
465,i winked,ich zwinkerte
466,i yawned,ich gähnte
467,i yawned,ich habe gegähnt
468,ill pay,ich werde zahlen
469,ill try,ich werde es versuchen
470,im a dj,ich bin dj
471,im back,ich bin wieder da
472,im bald,ich bin glatzköpfig
473,im bald,ich habe eine glatze
474,im busy,ich bin beschäftigt
475,im busy,ich habe zu tun
476,im cool,ich bin cool
477,im deaf,ich bin taub
478,im deaf,ich bin gehörlos
479,im fair,ich bin gerecht
480,im fine,mir gehts gut
481,im fine,mir geht es gut
482,im fine,es geht mir gut
483,im free,ich bin frei
484,im full,ich bin satt
485,im game,ich bin dabei
486,im game,ich mache mit
487,im good,mir gehts gut
488,im here,ich bin hier
489,im home,ich bin zu hause
490,im late,ich komme zu spät
491,im lost,ich habe mich verirrt
492,im mean,ich bin gemein
493,im next,ich bin der nächste
494,im okay,es geht mir gut
495,im rich,ich bin reich
496,im safe,ich bin sicher
497,im sick,ich bin krank
498,im sure,ich bin sicher
499,im tall,ich bin groß
500,im thin,ich bin dünn
501,im tidy,ich bin ordentlich
502,im ugly,ich bin hässlich
503,im ugly,ich sehe schlecht aus
504,im weak,ich bin schwach
505,im well,mir geht es gut
506,im well,es geht mir gut
507,it helps,das hilft
508,it hurts,es tut weh
509,it hurts,es schmerzt
510,it works,es klappt
511,it works,es funktioniert
512,its tom,es ist tom
513,its big,sie ist groß
514,its dry,es ist trocken
515,its his,es ist seins
516,its hot,es ist heiß
517,its hot,sie ist heiß
518,its hot,er ist heiß
519,its new,es ist neu
520,its red,das ist rot
521,its sad,es ist traurig
522,its tea,das ist tee
523,keep out,eintritt verboten
524,keep out,komm nicht herein
525,keep out,kein zutritt
526,kill tom,töte thomas
527,kill tom,tötet thomas
528,kill tom,töten sie thomas
529,kiss tom,küsse tom
530,kiss tom,küssen sie tom
531,kiss tom,küsst tom
532,leave us,geh weg
533,leave us,gehen sie weg
534,leave us,lass uns allein
535,leave us,lassen sie uns allein
536,lets go,lass uns gehen
537,lets go,auf gehts
538,lets go,gehen wir
539,lets go,lasst uns gehen
540,lets go,lass uns losgehen
541,lets go,lasst uns losgehen
542,lets go,auf auf
543,look out,vorsicht
544,marry me,heirate mich
545,may i go,darf ich gehen
546,save tom,rette tom
547,save tom,rettet tom
548,save tom,retten sie tom
549,she came,sie kam
550,she left,sie ist gegangen
551,she runs,sie rennt
552,sit down,setz dich
553,sit down,setzen sie sich
554,sit down,setz dich
555,speak up,sprich lauter
556,speed up,leg mal ’n zahn zu
557,stand up,stehen sie auf
558,stand up,steht auf
559,stand up,stehe auf
560,stand up,steh auf
561,stop tom,halte tom auf
562,stop tom,halten sie tom auf
563,stop tom,haltet tom auf
564,take tom,nimm tom
565,taste it,probier es mal
566,tell tom,sag es tom
567,tell tom,sagen sie es tom
568,tell tom,erzähl es tom
569,tell tom,erzählen sie tom davon
570,tell tom,sagt es tom
571,terrific,hervorragend
572,terrific,sagenhaft
573,terrific,wunderbar
574,they won,sie haben gewonnen
575,tom came,tom kam
576,tom came,tom ist gekommen
577,tom died,tom ist gestorben
578,tom died,tom starb
579,tom fell,tom fiel
580,tom fell,tom ist gefallen
581,tom knew,tom wusste es
582,tom knew,tom hat es gewusst
583,tom knew,tom wusste bescheid
584,tom left,tom ist gegangen
585,tom left,tom ging
586,tom lied,tom hat gelogen
587,tom lied,tom log
588,tom lies,tom lügt
589,tom lost,tom hat verloren
590,tom paid,tom hat gezahlt
591,tom quit,tom hat aufgehört
592,tom sang,tom sang
593,tom spit,thomas spuckte
594,tom spit,thomas hat gespuckt
595,tom swam,tom schwamm
596,tom swam,tom ist geschwommen
597,tom went,tom ging
598,tom wept,tom weinte
599,toms up,tom ist auf
600,too late,zu spät
601,touch it,fass es an
602,trust me,vertraue mir
603,trust me,vertraue mir
604,trust me,vertraut mir
605,trust me,vertrauen sie mir
606,try hard,versuch es richtig
607,try some,probier mal
608,try this,probier mal
609,use this,nimm das hier
610,warn tom,warnen sie tom
611,warn tom,warne tom
612,watch me,schau mir zu
613,watch me,schauen sie mir zu
614,watch us,beobachte uns
615,watch us,beobachten sie uns
616,watch us,schau uns zu
617,watch us,schaut uns zu
618,watch us,schauen sie uns zu
619,watch us,beobachtet uns
620,we agree,wir stimmen zu
621,we agree,wir sind einverstanden
622,we tried,wir haben es versucht
623,we tried,wir versuchten es
624,well go,wir werden gehen
625,were ok,wir sind in ordnung
626,what for,wozu
627,what fun,was für ein spaß
628,what now,was jetzt
629,who am i,wer bin ich
630,who came,wer ist gekommen
631,who came,wer kam
632,who died,wer ist gestorben
633,who fell,wer fiel
634,who fell,wer ist gefallen
635,who lost,wer hat verloren
636,who quit,wer hat aufgehört
637,who quit,wer ist ausgeschieden
638,who swam,wer schwamm
639,who swam,wer ist geschwommen
640,whos he,wer ist er
641,write me,schreib mir
642,write me,schreiben sie mir
643,write me,schreibt mir
644,you lost,sie haben verloren
645,you lost,du hast verloren
646,you lost,ihr habt verloren
647,aim fire,zielen feuer
648,am i dead,bin ich tot
649,am i late,bin ich zu spät
650,answer me,antworten sie mir
651,be seated,setz dich
652,be seated,setzen sie sich
653,birds fly,vögel fliegen
654,bless you,gesundheit
655,buy a gun,leg dir eine schusswaffe zu
656,call home,ruf zuhause an
657,call home,rufen sie zuhause an
658,calm down,beruhige dich
659,calm down,beruhige dich
660,calm down,beruhigen sie sich
661,calm down,beruhigen sie sich
662,can i eat,kann ich essen
663,can we go,können wir gehen
664,catch tom,fang tom
665,catch tom,fange tom
666,catch tom,fangen sie tom
667,catch tom,fangt tom
668,catch him,fang ihn
669,chill out,entspann dich
670,come back,komm wieder
671,come here,komm hierher
672,come here,komm her
673,come here,kommt her
674,come home,kommt heim
675,come home,komm heim
676,come over,komm her
677,come soon,komm bald
678,come soon,kommen sie bald
679,cool down,beruhige dich
680,did i win,habe ich gewonnen
681,do it now,mach es jetzt
682,dogs bark,hunde bellen
683,dont ask,frag nicht
684,dont cry,weine nicht
685,dont cry,weint nicht
686,dont cry,weinen sie nicht
687,dont cry,weinen sie nicht
688,dont cry,weint nicht
689,dont die,stirb nicht
690,dont lie,lüge nicht
691,dont lie,lüge nicht
692,dont run,lauf nicht
693,excuse me,es tut mir leid
694,excuse me,entschuldigung
695,excuse me,entschuldigung
696,excuse me,entschuldigen sie
697,excuse me,verzeihung
698,excuse me,verzeihung
699,fantastic,fantastisch
700,fantastic,ganz toll
701,feel this,fühl mal
702,follow me,folge mir
703,follow us,folge uns
704,follow us,folgen sie uns
705,forget it,vergiss es
706,forget it,daraus wird nichts
707,forget it,vergiss es
708,forget it,das kannst du knicken
709,forget me,vergiss mich
710,forget me,vergesst mich
711,forget me,vergessen sie mich
712,get ready,mach dich bereit
713,get ready,mach dich fertig
714,go for it,nur zu
715,go for it,tue es
716,go get it,hols dir
717,go inside,geh rein
718,go inside,komm rein
719,go to bed,geh schlafen
720,go to bed,geh schlafen
721,go to bed,gehe schlafen
722,go to bed,gehen sie schlafen
723,go to bed,geh ins bett
724,go to bed,geht ins bett
725,go to bed,legt euch schlafen
726,goodnight,gute nacht
727,goodnight,schönen abend
728,grab that,nimm das
729,grab that,hol das
730,grab this,schnapp dir das
731,hands off,hände weg
732,have some,nimm dir davon
733,have some,nehmen sie davon
734,he is ill,er ist krank
735,he is old,er ist alt
736,he shaved,er rasierte sich
737,he smiled,er lächelte
738,hes a dj,er ist dj
739,hes a dj,er ist plattenaufleger
740,hes fast,er ist schnell
741,hes good,er ist gut
742,hes lazy,er ist träge
743,hes rich,er ist reich
744,hes sexy,er ist sexy
745,head east,fahr richtung osten
746,head east,fahren sie richtung osten
747,head east,fahrt richtung osten
748,here i am,hier bin ich
749,heres 5,hier sind fünf dollar
750,hold fire,nicht schießen
751,hold this,halt das
752,hold this,halt das mal
753,hold this,halten sie das
754,hold this,haltet das
755,how awful,schrecklich
756,how is it,wie ist die lage
757,how weird,wie seltsam
758,humor tom,lass tom doch seinen willen
759,humor tom,lasst tom doch seinen willen
760,i am here,ich bin hier
761,i am okay,es geht mir gut
762,i am sure,ich bin sicher
763,i am tall,ich bin groß
764,i am weak,ich bin schwach
765,i am well,mir geht es gut
766,i am well,es geht mir gut
767,i approve,ich bin einverstanden
768,i can fly,ich kann fliegen
769,i can run,ich kann laufen
770,i can run,ich kann rennen
771,i can ski,ich kann ski fahren
772,i can win,ich kann gewinnen
773,i changed,ich änderte mich
774,i cheated,ich habe geschummelt
775,i clapped,ich klatschte
776,i coughed,ich hustete
777,i coughed,ich habe gehustet
778,i escaped,ich entkam
779,i escaped,ich bin entkommen
780,i fainted,ich wurde ohnmächtig
781,i fainted,ich fiel in ohnmacht
782,i fear so,ich fürchte ja
783,i frowned,ich runzelte die stirn
784,i gave up,ich habe aufgegeben
785,i gave up,ich gab auf
786,i get you,ich verstehe was du meinst
787,i giggled,ich kicherte
788,i give in,ich gebe auf
789,i give in,ich gebe nach
790,i give in,ich füge mich
791,i give up,ich gebe auf
792,i got hot,mir wurde heiß
793,i got mad,ich wurde wütend
794,i got mad,ich wurde böse
795,i got you,ich habe dich
796,i had fun,ich hatte spaß
797,i had fun,ich habe mich amüsiert
798,i have it,ich habe es
799,i hit tom,ich habe tom geschlagen
800,i hit tom,ich schlage tom
801,i hit tom,ich schlug tom
802,i hope so,das hoffe ich
803,i hope so,ich hoffe es
804,i hung up,ich habe aufgelegt
805,i hurried,ich habe mich beeilt
806,i knew it,ich wusste es
807,i knew it,ich wusste das
808,i laughed,ich lachte
809,i like it,das gefällt mir
810,i like it,es ist mir recht
811,i lost it,ich habe ihn verloren
812,i love it,ich liebe es
813,i love it,ich liebe es
814,i made it,ich habe es gemacht
815,i made it,ich habe es geschafft
816,i may win,vielleicht gewinne ich
817,i mean it,ich meine es so
818,i mean it,ich meine es ernst
819,i mean it,ich meine es ernst
820,i mean it,es ist ernst gemeint von mir
821,i met tom,ich habe tom getroffen
822,i met tom,ich traf tom
823,i met tom,ich bin tom begegnet
824,i met him,ich habe ihn getroffen
825,i miss it,ich vermisse es
826,i miss it,es fehlt mir
827,i promise,ich versprechs
828,i promise,ich verspreche es
829,i relaxed,ich entspanne mich
830,i relaxed,ich habe mich entspannt
831,i retired,ich ging in pension
832,i said no,ich sagte nein
833,i saw tom,ich habe tom gesehen
834,i saw him,ich habe ihn gesehen
835,i saw one,ich habe einen gesehen
836,i saw you,ich habe dich gesehen
837,i saw you,ich habe euch gesehen
838,i saw you,ich habe sie gesehen
839,i see tom,ich sehe tom
840,i shouted,ich schrie
841,i slipped,ich rutschte aus
842,i slipped,ich bin ausgerutscht
843,i sped up,ich beschleunigte
844,i stopped,ich hörte auf
845,i stopped,ich stoppte
846,i took it,ich nahm es
847,i took it,ich habe es genommen
848,i want it,ich möchte es
849,i want it,ich will es
850,i was ill,ich war krank
851,i was mad,ich war verrückt
852,i was new,ich war neu
853,i was sad,ich war traurig
854,i was shy,ich war schüchtern
855,i will go,ich gehe
856,i will go,ich werde gehen
857,i woke up,ich wachte auf
858,id do it,ich würde es tun
859,id leave,ich würde gehen
860,ill call,ich werde anrufen
861,ill come,ich werde kommen
862,ill cook,ich werde kochen
863,ill fail,ich werde scheitern
864,ill help,ich helfe
865,ill live,ich werde leben
866,ill obey,ich werde gehorchen
867,ill quit,ich werde aufhören
868,ill quit,ich werde abbrechen
869,ill sing,ich werde singen
870,ill stay,ich werde bleiben
871,ill stop,ich werde aufhören
872,ill talk,ich werde reden
873,ill wait,ich werde warten
874,ill walk,ich gehe zu fuß
875,ill walk,ich werde zu fuß gehen
876,im a man,ich bin ein mann
877,im a spy,ich bin eine spionin
878,im a spy,ich bin spion
879,im a spy,ich bin spionin
880,im alone,ich bin allein
881,im angry,ich bin sauer
882,im awake,ich bin wach
883,im blind,ich bin blind
884,im bored,ich bin gelangweilt
885,im bored,mir ist langweilig
886,im broke,ich bin knapp bei kasse
887,im broke,ich bin pleite
888,im crazy,ich bin verrückt
889,im cured,ich bin geheilt
890,im drunk,ich bin betrunken
891,im drunk,ich bin blau
892,im dying,ich werde bald sterben
893,im early,ich bin früh dran
894,im first,ich bin erster
895,im first,ich bin erste
896,im fussy,ich bin pingelig
897,im going,ich gehe jetzt
898,im happy,ich bin glücklich
899,im happy,ich bin froh
900,im lying,ich lüge
901,im needy,ich bin bedürftig
902,im obese,ich bin fett
903,im picky,ich bin pingelig
904,im picky,ich bin wählerisch
905,im ready,ich bin soweit
906,im ready,ich bin soweit
907,im ready,ich bin so weit
908,im right,ich habe recht
909,im right,ich habe recht
910,im sober,ich bin nüchtern
911,im sorry,es tut mir leid
912,im sorry,entschuldigung
913,im sorry,entschuldigung
914,im stuck,ich stecke fest
915,im tired,ich bin müde
916,im tired,ich bin müde
917,im tough,ich bin zäh
918,im upset,ich bin verärgert
919,im upset,ich bin bestürzt
920,im wrong,ich habe mich geirrt
921,im wrong,ich liege falsch
922,im yours,ich gehöre dir
923,ive lost,ich habe verloren
924,ignore it,beachte es gar nicht
925,ignore it,beachten sie es gar nicht
926,is tom ok,ist tom okay
927,is tom in,ist tom da
928,is he tom,ist das tom
929,is he tom,ist er tom
930,is it tom,ist das tom
931,is it bad,ist es schlimm
932,is it bad,ist es schlecht
933,is it far,ist das weit
934,is it hot,ist es heiß
935,is it new,ist es neu
936,is it red,ist es rot
937,it bit me,sie hat mich gebissen
938,it burned,es brannte
939,it burned,es verbrannte
940,it poured,es schüttete
941,it snowed,es hat geschneit
942,it stinks,da ist doch was faul
943,it worked,es hat geklappt
944,it worked,das hat funktioniert
945,its 330,es ist halb vier
946,its 745,es ist 745 uhr
947,its 745,es ist sieben uhr fünfundvierzig
948,its 830,es ist 830 uhr
949,its 915,es ist viertel nach neun
950,its 915,es ist 915 uhr
951,its a tv,das ist ein fernseher
952,its cold,es ist kalt
953,its cool,es ist kühl
954,its dark,es ist dunkel
955,its easy,das ist einfach
956,its easy,es ist einfach
957,its fair,es ist gerecht
958,its free,es ist frei
959,its full,es ist voll
960,its gone,es ist verschwunden
961,its gone,es ist weg
962,its hard,das ist hart
963,its here,es ist hier
964,its late,es ist spät
965,its mine,es ist meins
966,its mine,sie gehört mir
967,its mine,er gehört mir
968,its okay,es ist in ordnung
969,its open,es ist geöffnet
970,its ours,es ist unsers
971,its over,es ist vorbei
972,its sand,es ist sand
973,its true,es ist wahr
974,its work,es ist arbeit
975,its work,das ist meine arbeit
976,jump down,spring runter
977,just swim,schwimm einfach
978,keep away,bleib weg
979,keep away,bleibt weg
980,keep away,bleiben sie weg
981,keep back,bleiben sie zurück
982,keep calm,bleib ruhig
983,keep calm,bleiben sie ruhig
984,keep cool,bleib gelassen
985,keep down,bleib unten
986,keep that,behalt’s
987,keep them,behalte sie
988,keep them,behalten sie sie
989,keep them,behaltet sie
990,keep them,behalt sie
991,keep this,behalte das
992,keep warm,halt dich warm
993,keep warm,haltet euch warm
994,keep warm,halten sie sich warm
995,kill them,töte sie
996,kill them,tötet sie
997,kill them,töten sie sie
998,kill them,bring sie um
999,kill them,bringt sie um
1000,kill them,bringen sie sie um
1001,leave tom,verlasse tom
1002,leave tom,verlassen sie tom
1003,leave now,geh jetzt
1004,leave now,geht jetzt
1005,let it be,lass es sein
1006,let it be,lass es bleiben
1007,let me be,lass mich in ruhe
1008,let me go,lassen sie mich gehen
1009,let me go,lass mich gehen
1010,let me in,lass mich herein
1011,let us go,lass uns gehen
1012,let us go,lassen sie uns gehen
1013,lets eat,essen wir etwas
1014,lets see,schauen wir mal
1015,lets see,lass sehen
1016,lets try,lasst es uns versuchen
1017,lets try,lass es uns versuchen
1018,lets try,lass es uns probieren
1019,lie still,lieg still und beweg dich nicht
1020,listen up,hör zu
1021,listen up,hört zu
1022,look away,schau weg
1023,look back,schau nach hinten
1024,look back,schau hinter dich
1025,look down,guck runter
1026,look here,schau hier
1027,look here,schau her
1028,loosen it,dreh es auf
1029,loosen up,mach dich locker
1030,move over,rutsch mal ein stück
1031,nice shot,guter schuss
1032,of course,natürlich
1033,of course,selbstverständlich
1034,of course,auf jeden fall
1035,of course,na klar
1036,of course,aber sicher doch
1037,please go,bitte geh
1038,please go,bitte geht
1039,please go,bitte gehen sie
1040,put it on,setz es auf
1041,put it on,tu es drauf
1042,put it on,setz ihn auf
1043,put it on,zieh sie an
